Order Date,Ship Mode,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Time_taken,Seasons_of_the_year,month,day_of_week,week_of_year,is_holiday,Sales,Quantity,Discount,Profit,price_per_unit
2013-11-09,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,3,Autumn,11,5,45,False,261.96,2,0.0,41.9136,130.98
2013-11-09,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",3,Autumn,11,5,45,False,731.94,3,0.0,219.582,243.98000000000002
2013-06-13,Second Class,Darrin Van Huff,Corporate,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,4,Summer,6,3,24,False,14.62,2,0.0,6.8714,7.31
2012-10-11,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,7,Autumn,10,3,41,False,957.5775,5,0.45,-383.031,191.5155
2012-10-11,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,7,Autumn,10,3,41,False,22.368,2,0.2,2.5164,11.184
2011-06-09,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",5,Summer,6,3,23,False,48.86,7,0.0,14.1694,6.9799999999999995
2011-06-09,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Art,Newell 322,5,Summer,6,3,23,False,7.28,4,0.0,1.9656,1.82
2011-06-09,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,5,Summer,6,3,23,False,907.152,6,0.2,90.7152,151.192
2011-06-09,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,5,Summer,6,3,23,False,18.504,3,0.2,5.7825,6.168
2011-06-09,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,5,Summer,6,3,23,False,114.9,5,0.0,34.47,22.98
2011-06-09,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,5,Summer,6,3,23,False,1706.184,9,0.2,85.3092,189.576
